rating,name,team,gamesRated,position,gamesPlayed
2.35,Thomas M?ller,Bayern Munich,26,Sturm,27
2.48,Robert Lewandowski,Bayern Munich,25,Sturm,27
2.63,Marwin Hitz,FC Augsburg,27,Torwart,27
2.64,Ron-Robert Zieler,Hannover,28,Torwart,28
2.68,?lkay G?ndo?an,Dortmund,22,Mittelfeld,23
2.73,Henrikh Mkhitaryan,Dortmund,26,Mittelfeld,27
2.75,Mats Hummels,Dortmund,24,Abwehr,25
2.75,Douglas Costa,Bayern Munich,20,Mittelfeld,22
2.75,Ren? Adler,Hamburg,20,Torwart,22
2.76,Pierre-Emerick Aubameyang,Dortmund,25,Sturm,26
2.82,Kevin Kampl,Leverkusen,17,Mittelfeld,19
2.88,Timo Horn,1. FC K?ln,26,Torwart,28
2.89,Loris Karius,Mainz,27,Torwart,28
2.89,Matthias Ginter,Dortmund,19,Abwehr,20
2.91,Przemys?aw Tyto?,Stuttgart,23,Torwart,26
2.92,Marvin Matip,Ingolstadt,26,Abwehr,28
2.93,Ralf F?hrmann,Schalke,27,Torwart,28
2.94,Rafinha,Bayern Munich,16,Abwehr,19
2.96,Jonathan Tah,Leverkusen,24,Abwehr,26
2.96,Manuel Neuer,Bayern Munich,26,Torwart,28
3.00,Luk?? Hr?deck?,Frankfurt,25,Torwart,28
3.00,Oliver Baumann,Hoffenheim,26,Torwart,28
3.00,Sandro Wagner,Darmstadt,24,Sturm,27
3.00,Arturo Vidal,Bayern Munich,23,Mittelfeld,26
3.00,Ramazan ?zcan,Ingolstadt,24,Torwart,25
3.00,Rune Jarstein,Hertha BSC,22,Torwart,24
3.00,Shinji Kagawa,Dortmund,22,Mittelfeld,23
3.00,Thiago,Bayern Munich,19,Mittelfeld,22
3.00,Marco Reus,Dortmund,21,Mittelfeld,22
3.00,J?r?me Boateng,Bayern Munich,16,Abwehr,17
3.05,Mitchell Weiser,Hertha BSC,22,Mittelfeld,24
3.05,Filip Kosti?,Stuttgart,22,Mittelfeld,24
3.05,Fabian Johnson,Bor. M?nchengladbach,21,Mittelfeld,23
3.05,Sokratis Papastathopoulos,Dortmund,19,Abwehr,21
3.06,Yannick Gerhardt,1. FC K?ln,18,Mittelfeld,23
3.06,Christian Clemens,Mainz,18,Mittelfeld,22
3.06,Kingsley Coman,Bayern Munich,16,Mittelfeld,20
3.08,Yann Sommer,Bor. M?nchengladbach,25,Torwart,27
3.08,Raffael,Bor. M?nchengladbach,25,Sturm,27
3.08,Salomon Kalou,Hertha BSC,25,Sturm,26
3.09,David Alaba,Bayern Munich,22,Abwehr,24
3.10,Javier Hern?ndez,Leverkusen,20,Sturm,23
3.11,Marcel Schmelzer,Dortmund,19,Abwehr,21
3.13,Benjamin H?bner,Ingolstadt,24,Abwehr,24
3.13,Thorgan Hazard,Bor. M?nchengladbach,16,Mittelfeld,23
3.13,Gonzalo Castro,Dortmund,16,Mittelfeld,21
3.13,John Anthony Brooks,Hertha BSC,16,Abwehr,20
3.13,Sebastian Langkamp,Hertha BSC,16,Abwehr,18
3.13,Andreas Christensen,Bor. M?nchengladbach,23,Abwehr,25
3.14,Philipp Lahm,Bayern Munich,21,Abwehr,23
3.15,Marcel Heller,Darmstadt,27,Sturm,27
3.17,Lars Stindl,Bor. M?nchengladbach,24,Mittelfeld,26
3.17,Christian Gentner,Stuttgart,23,Mittelfeld,25
3.18,Pablo de Blasis,Mainz,17,Mittelfeld,22
3.18,Christian Mathenia,Darmstadt,28,Torwart,28
3.18,Mahmoud Dahoud,Bor. M?nchengladbach,22,Mittelfeld,27
3.19,Roman B?rki,Dortmund,26,Torwart,27
