rating,name,games,goals,team,position
-,Ivan Lu?i?,0,0,Bayern Munich,Torwart
2.94,Manuel Neuer,34,0,Bayern Munich,Torwart
-,Tom Starke,0,0,Bayern Munich,Torwart
3.00,Sven Ulreich,1,0,Bayern Munich,Torwart
3.07,David Alaba,30,1,Bayern Munich,Abwehr
3.17,Holger Badstuber,7,0,Bayern Munich,Abwehr
3.46,Medhi Benatia,14,1,Bayern Munich,Abwehr
3.06,J?r?me Boateng,19,0,Bayern Munich,Abwehr
2.64,Javi Mart?nez ,16,1,Bayern Munich,Abwehr
3.54,Juan Bernat ,16,0,Bayern Munich,Abwehr
2.82,Joshua Kimmich,23,0,Bayern Munich,Abwehr
3.13,Philipp Lahm,26,1,Bayern Munich,Abwehr
2.95,Rafinha ,25,0,Bayern Munich,Abwehr
-,Philipp Steinhart,0,0,Bayern Munich,Abwehr
3.67,Serdar Ta???,3,0,Bayern Munich,Abwehr
-,Fabian Benko,0,0,Bayern Munich,Mittelfeld
3.05,Kingsley Coman,23,4,Bayern Munich,Mittelfeld
2.79,Douglas Costa ,27,4,Bayern Munich,Mittelfeld
3.15,Mario G?tze,14,3,Bayern Munich,Mittelfeld
2.42,Franck Rib?ry,13,2,Bayern Munich,Mittelfeld
3.20,Sebastian Rode,15,1,Bayern Munich,Mittelfeld
3.17,Thiago ,27,2,Bayern Munich,Mittelfeld
2.93,Arturo Vidal,30,4,Bayern Munich,Mittelfeld
3.26,Xabi Alonso ,26,0,Bayern Munich,Mittelfeld
-,Julian Green,0,0,Bayern Munich,Sturm
2.47,Robert Lewandowski,32,30,Bayern Munich,Sturm
2.47,Thomas M?ller,31,20,Bayern Munich,Sturm
-,Milo? Pantovi?,1,0,Bayern Munich,Sturm
2.69,Arjen Robben,15,4,Bayern Munich,Sturm
-,Patrick Weihrauch,0,0,Bayern Munich,Sturm
3.29,Diego Benaglio,21,0,Wolfsburg,Torwart
3.08,Koen Casteels,13,0,Wolfsburg,Torwart
-,Max Gr?n,0,0,Wolfsburg,Torwart
-,Niklas Klinger,0,0,Wolfsburg,Torwart
-,Carlos Ascues,1,0,Wolfsburg,Abwehr
4.32,Dante ,23,1,Wolfsburg,Abwehr
-,Felipe ,0,0,Wolfsburg,Abwehr
-,Jannes Horn,0,0,Wolfsburg,Abwehr
4.29,Sebastian Jung,11,0,Wolfsburg,Abwehr
4.63,Robin Knoche,11,1,Wolfsburg,Abwehr
3.79,Naldo ,29,0,Wolfsburg,Abwehr
3.64,Ricardo Rodr?guez,24,2,Wolfsburg,Abwehr
3.44,Marcel Sch?fer,21,1,Wolfsburg,Abwehr
-,Moritz Sprenger,0,0,Wolfsburg,Abwehr
3.79,Vieirinha ,26,1,Wolfsburg,Abwehr
3.68,Maximilian Arnold,31,3,Wolfsburg,Mittelfeld
3.73,Daniel Caligiuri,29,2,Wolfsburg,Mittelfeld
3.50,Julian Draxler,21,5,Wolfsburg,Mittelfeld
3.82,Josuha Guilavogui,30,2,Wolfsburg,Mittelfeld
3.76,Luiz Gustavo ,22,1,Wolfsburg,Mittelfeld
4.00,Leandro Putaro,4,0,Wolfsburg,Mittelfeld
3.00,Paul Seguin,4,0,Wolfsburg,Mittelfeld
3.78,Christian Tr?sch,29,0,Wolfsburg,Mittelfeld
-,Ismail Azzaoui,2,0,Wolfsburg,Sturm
3.50,Bruno Henrique ,7,0,Wolfsburg,Sturm
3.57,Bas Dost,22,8,Wolfsburg,Sturm
4.06,Max Kruse,32,6,Wolfsburg,Sturm
3.88,Andr? Sch?rrle,29,9,Wolfsburg,Sturm
-,Sebastian Stolze,0,0,Wolfsburg,Sturm
-,Christofer Heimeroth,0,0,Gladbach,Torwart
3.00,Tobias Sippel,2,0,Gladbach,Torwart
3.10,Yann Sommer,32,0,Gladbach,Torwart
3.67,Roel Brouwers,8,0,Gladbach,Abwehr
3.07,Andreas Christensen,31,3,Gladbach,Abwehr
2.80,Dom?nguez ,6,0,Gladbach,Abwehr
3.65,Nico Elvedi,21,0,Gladbach,Abwehr
3.57,Martin Hinteregger,10,0,Gladbach,Abwehr
4.33,Tony Jantschke,12,0,Gladbach,Abwehr
3.56,Julian Korb,17,1,Gladbach,Abwehr
4.25,Marvin Schulz,8,0,Gladbach,Abwehr
5.00,Martin Stranzl,4,0,Gladbach,Abwehr
3.56,Oscar Wendt,30,3,Gladbach,Abwehr
3.23,Mahmoud Dahoud,32,5,Gladbach,Mittelfeld
2.50,Andr? Hahn,15,8,Gladbach,Mittelfeld
3.20,Thorgan Hazard,29,4,Gladbach,Mittelfeld
3.14,Patrick Herrmann,18,3,Gladbach,Mittelfeld
3.00,Jonas Hofmann,8,0,Gladbach,Mittelfeld
3.14,Fabian Johnson,26,6,Gladbach,Mittelfeld
-,Tsiy William Ndenge,0,0,Gladbach,Mittelfeld
3.52,H?vard Nordtveit,31,4,Gladbach,Mittelfeld
4.00,Nico Schulz,1,0,Gladbach,Mittelfeld
-,Djibril Sow,0,0,Gladbach,Mittelfeld
3.19,Lars Stindl,30,7,Gladbach,Mittelfeld
3.48,Ibrahima Traor?,24,3,Gladbach,Mittelfeld
3.12,Granit Xhaka,28,3,Gladbach,Mittelfeld
4.00,Branimir Hrgota,9,0,Gladbach,Sturm
3.21,Raffael ,31,13,Gladbach,Sturm
-,Marlon Ritter,0,0,Gladbach,Sturm
4.00,Dario Kre?i?,1,0,Leverkusen,Torwart
3.19,Bernd Leno,33,0,Leverkusen,Torwart
4.00,David Yelldell,1,0,Leverkusen,Torwart
-,Joel Abu Hanna,0,0,Leverkusen,Abwehr
-,Robin Becker,0,0,Leverkusen,Abwehr
-,Lukas Boeder,0,0,Leverkusen,Abwehr
4.00,Sebastian Boenisch,8,1,Leverkusen,Abwehr
3.92,Roberto Hilbert,12,0,Leverkusen,Abwehr
3.92,Tin Jedvaj,15,0,Leverkusen,Abwehr
3.91,Kyriakos Papadopoulos,16,0,Leverkusen,Abwehr
2.96,Jonathan Tah,29,0,Leverkusen,Abwehr
3.20,?mer Toprak,19,1,Leverkusen,Abwehr
4.00,Wendell ,28,0,Leverkusen,Abwehr
4.07,Andr? Ramalho ,19,0,Leverkusen,Mittelfeld
2.33,Charles Ar?nguiz,7,2,Leverkusen,Mittelfeld
3.39,Karim Bellarabi,33,6,Leverkusen,Mittelfeld
3.09,Lars Bender,11,1,Leverkusen,Mittelfeld
3.46,Julian Brandt,29,9,Leverkusen,Mittelfeld
4.00,Hakan ?alhano?lu,31,3,Leverkusen,Mittelfeld
-,Patrik D?alto,0,0,Leverkusen,Mittelfeld
4.33,Marlon Frey,9,0,Leverkusen,Mittelfeld
2.67,Benjamin Henrichs,9,0,Leverkusen,Mittelfeld
2.71,Kevin Kampl,22,3,Leverkusen,Mittelfeld
3.67,Christoph Kramer,28,0,Leverkusen,Mittelfeld
-,Robbie Kruse,0,0,Leverkusen,Mittelfeld
2.50,Vladlen Yurchenko,7,1,Leverkusen,Mittelfeld
3.20,Javier Hern?ndez,28,17,Leverkusen,Sturm
3.20,Stefan Kie?ling,30,5,Leverkusen,Sturm
3.55,Admir Mehmedi,28,2,Leverkusen,Sturm
-,Ioannis Gelios,0,0,Augsburg,Torwart
2.67,Marwin Hitz,33,0,Augsburg,Torwart
3.00,Alexander Manninger,2,0,Augsburg,Torwart
-,Yannik Oettl,0,0,Augsburg,Torwart
3.38,Jan-Ingwer Callsen-Bracker,10,1,Augsburg,Abwehr
-,Raphael Framberger,0,0,Augsburg,Abwehr
3.55,Jeffrey Gouweleeuw,11,0,Augsburg,Abwehr
3.57,Jeong-ho Hong,23,2,Augsburg,Abwehr
4.00,Christoph Janker,12,0,Augsburg,Abwehr
3.61,Ragnar Klavan,31,0,Augsburg,Abwehr
3.62,Philipp Max,26,0,Augsburg,Abwehr
3.50,Dan Opare,4,0,Augsburg,Abwehr
-,Tim Rieder,0,0,Augsburg,Abwehr
4.10,Kostas Stafylidis,11,1,Augsburg,Abwehr
-,Maik Uhde,0,0,Augsburg,Abwehr
3.28,Paul Verhaegh,25,6,Augsburg,Abwehr
3.36,Daniel Baier,28,1,Augsburg,Mittelfeld
3.62,Caiuby ,26,4,Augsburg,Mittelfeld
-,Arif Ekin,0,0,Augsburg,Mittelfeld
3.67,Markus Feulner,19,1,Augsburg,Mittelfeld
3.55,Dominik Kohr,31,0,Augsburg,Mittelfeld
3.63,Ja-cheol Koo,27,8,Augsburg,Mittelfeld
3.90,Jan Mor?vek,11,1,Augsburg,Mittelfeld
-,Max Reinthaler,0,0,Augsburg,Mittelfeld
-,Marco Schuster,0,0,Augsburg,Mittelfeld
-,Erik Thommy,0,0,Augsburg,Mittelfeld
3.75,Piotr Trochowski,6,0,Augsburg,Mittelfeld
3.91,Tobias Werner,13,0,Augsburg,Mittelfeld
4.00,Albian Ajeti,1,0,Augsburg,Sturm
3.75,Halil Altintop,19,1,Augsburg,Sturm
3.54,Ra?l Bobadilla,27,4,Augsburg,Sturm
3.74,Alexander Esswein,29,3,Augsburg,Sturm
3.36,Alfre? Finnbogason,14,7,Augsburg,Sturm
3.80,Dong-won Ji,21,0,Augsburg,Sturm
-,Shawn Parker,0,0,Augsburg,Sturm
3.09,Ralf F?hrmann,34,0,Schalke,Torwart
-,Fabian Giefer,0,0,Schalke,Torwart
-,Michael Gspurning,0,0,Schalke,Torwart
-,Alexander N?bel,1,0,Schalke,Torwart
4.36,Dennis Aogo,23,0,Schalke,Abwehr
-,Marvin Friedrich,2,0,Schalke,Abwehr
3.56,Benedikt H?wedes,15,1,Schalke,Abwehr
4.36,Junior Cai?ara ,23,0,Schalke,Abwehr
-,Thilo Kehrer,1,0,Schalke,Abwehr
4.18,Sead Kola?inac,23,1,Schalke,Abwehr
3.36,Joel Matip,34,3,Schalke,Abwehr
3.00,Matija Nastasi?,1,0,Schalke,Abwehr
4.07,Sascha Riether,17,0,Schalke,Abwehr
-,Atsuto Uchida,0,0,Schalke,Abwehr
4.18,Youn?s Belhanda,15,2,Schalke,Mittelfeld
3.81,Johannes Geis,28,2,Schalke,Mittelfeld
3.63,Leon Goretzka,25,1,Schalke,Mittelfeld
4.00,Marco H?ger,5,0,Schalke,Mittelfeld
4.12,Pierre-Emile H?jbjerg,23,0,Schalke,Mittelfeld
3.71,Max Meyer,32,5,Schalke,Mittelfeld
