rating,name,games,goals,team,position
2.84,Manuel Neuer,34,0,Bayern Munich,Torwart
-,Tom Starke,0,0,Bayern Munich,Torwart
3.00,Sven Ulreich,1,0,Bayern Munich,Torwart
3.00,David Alaba,30,1,Bayern Munich,Abwehr
3.17,Holger Badstuber,7,0,Bayern Munich,Abwehr
3.31,Medhi Benatia,14,1,Bayern Munich,Abwehr
2.74,Jerome Boateng,19,0,Bayern Munich,Abwehr
2.62,Javi Martinez,16,1,Bayern Munich,Abwehr
3.68,Juan Bernat,16,0,Bayern Munich,Abwehr
3.00,Philipp Lahm,26,1,Bayern Munich,Abwehr
3.45,Rafinha,25,0,Bayern Munich,Abwehr
4.00,Serdar Tasci,3,0,Bayern Munich,Abwehr
2.95,Kingsley Coman,23,4,Bayern Munich,Mittelfeld
2.85,Douglas Costa,27,4,Bayern Munich,Mittelfeld
2.95,Mario G?tze,14,3,Bayern Munich,Mittelfeld
-,Julian Green,0,0,Bayern Munich,Mittelfeld
3.13,Joshua Kimmich,23,0,Bayern Munich,Mittelfeld
2.72,Thomas M?ller,31,20,Bayern Munich,Mittelfeld
2.28,Franck Ribery,13,2,Bayern Munich,Mittelfeld
2.82,Arjen Robben,15,4,Bayern Munich,Mittelfeld
3.00,Sebastian Rode,15,1,Bayern Munich,Mittelfeld
3.13,Thiago,27,2,Bayern Munich,Mittelfeld
2.98,Arturo Vidal,30,4,Bayern Munich,Mittelfeld
2.72,Xabi Alonso,26,0,Bayern Munich,Mittelfeld
2.63,Robert Lewandowski,32,30,Bayern Munich,Sturm
-,Hendrik Bonmann,0,0,Dortmund,Torwart
3.08,Roman B?rki,33,0,Dortmund,Torwart
3.00,Roman Weidenfeller,1,0,Dortmund,Torwart
3.17,Sven Bender,19,0,Dortmund,Abwehr
3.50,Erik Durm,14,1,Dortmund,Abwehr
3.18,Matthias Ginter,24,3,Dortmund,Abwehr
2.86,Mats Hummels,30,2,Dortmund,Abwehr
4.25,Joo-Ho Park,5,0,Dortmund,Abwehr
3.22,Lukasz Piszczek,20,0,Dortmund,Abwehr
3.22,Marcel Schmelzer,26,0,Dortmund,Abwehr
3.17,Sokratis,25,1,Dortmund,Abwehr
3.60,Neven Subotic,6,0,Dortmund,Abwehr
2.95,Gonzalo Castro,25,3,Dortmund,Mittelfeld
2.92,Ilkay G?ndogan,25,1,Dortmund,Mittelfeld
3.30,Shinji Kagawa,29,9,Dortmund,Mittelfeld
3.75,Moritz Leitner,9,0,Dortmund,Mittelfeld
2.57,Henrikh Mkhitaryan,31,11,Dortmund,Mittelfeld
3.75,Felix Passlack,3,0,Dortmund,Mittelfeld
3.00,Christian Pulisic,9,2,Dortmund,Mittelfeld
3.25,Marco Reus,26,12,Dortmund,Mittelfeld
3.42,Nuri Sahin,9,0,Dortmund,Mittelfeld
3.21,Julian Weigl,30,0,Dortmund,Mittelfeld
3.11,Pierre-Emerick Aubameyang,31,25,Dortmund,Sturm
3.22,Adrian Ramos,27,9,Dortmund,Sturm
3.00,Dario Kresic,1,0,Leverkusen,Torwart
2.80,Bernd Leno,33,0,Leverkusen,Torwart
3.00,David Yelldell,1,0,Leverkusen,Torwart
-,Lukas Boeder,0,0,Leverkusen,Abwehr
3.83,Sebastian Boenisch,8,1,Leverkusen,Abwehr
3.45,Roberto Hilbert,12,0,Leverkusen,Abwehr
3.89,Tin Jedvaj,15,0,Leverkusen,Abwehr
3.95,Kyriakos Papadopoulos,16,0,Leverkusen,Abwehr
4.00,Andr? Ramalho,19,0,Leverkusen,Abwehr
3.00,Jonathan Tah,29,0,Leverkusen,Abwehr
3.12,?mer Toprak,19,1,Leverkusen,Abwehr
3.76,Wendell,28,0,Leverkusen,Abwehr
2.40,Charles Aranguiz,7,2,Leverkusen,Mittelfeld
3.09,Lars Bender,11,1,Leverkusen,Mittelfeld
3.98,Hakan Calhanoglu,31,3,Leverkusen,Mittelfeld
3.83,Marlon Frey,9,0,Leverkusen,Mittelfeld
2.90,Kevin Kampl,22,3,Leverkusen,Mittelfeld
3.55,Christoph Kramer,28,0,Leverkusen,Mittelfeld
3.00,Vladlen Yurchenko,7,1,Leverkusen,Mittelfeld
3.14,Karim Bellarabi,33,6,Leverkusen,Sturm
3.40,Julian Brandt,29,9,Leverkusen,Sturm
3.19,Chicharito,28,17,Leverkusen,Sturm
3.30,Stefan Kie?ling,30,5,Leverkusen,Sturm
4.25,Robbie Kruse,9,0,Leverkusen,Sturm
3.75,Admir Mehmedi,28,2,Leverkusen,Sturm
-,Christofer Heimeroth,0,0,Gladbach,Torwart
3.00,Tobias Sippel,2,0,Gladbach,Torwart
2.98,Yann Sommer,32,0,Gladbach,Torwart
3.10,Alvaro Dominguez,6,0,Gladbach,Abwehr
4.33,Roel Brouwers,8,0,Gladbach,Abwehr
