bigError,rating,Touches,TackleWonTotal,goalScored,ShotBlocked,playedMinutes,pitch,PassLongBallTotal,bigClearance,score,matchIdentifier,KeyPassTotal,ShotsTotal,PassThroughBallAccurate,PassThroughBallTotal,PassCrossTotal,ShotOnTarget,PassSuccessInMatch,bigChanceMiss,FoulCommitted,Name,yellowCard,season,OffsideGiven,PassLongBallAccurate,scoreTeam,TotalPasses,assists,date,Position,Turnover,ClearanceTotal,DribbleWon,redCard,InterceptionAll,DuelAerialWon,matchdayIdentifier,PassCrossAccurate,team,FoulGiven,Dispossessed,result
0,7.00,37,0,0,0,90,home,5,0,5 : 0,969088,0,0,0,0,0,0,96.4,0,0,Manuel Neuer,False,2015-2016,0,4,5,28,0,5-Aug-15,GK,0,0,0,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,0,0,win
0,7.35,77,1,0,0,71,home,4,0,5 : 0,969088,1,1,0,0,1,0,88.9,0,0,Philipp Lahm,False,2015-2016,0,4,5,72,0,5-Aug-15,DR,0,0,1,False,0,1,2015-2016_matchday_1_Bayern-Hamburg,1,Bayern,1,0,win
0,7.29,103,0,0,0,90,home,12,0,5 : 0,969088,1,3,0,0,0,1,86,0,1,Jérôme Boateng,True,2015-2016,0,6,5,93,0,5-Aug-15,DC,2,1,0,False,3,3,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,0,0,win
0,9.30,92,4,1,0,90,home,3,0,5 : 0,969088,0,1,0,0,0,1,93.7,0,1,Medhi Benatia,False,2015-2016,0,1,5,79,0,5-Aug-15,DC,0,6,0,False,2,10,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,1,0,win
0,8.06,87,1,0,1,90,home,4,0,5 : 0,969088,2,3,0,0,3,2,89,0,0,David Alaba,False,2015-2016,0,3,5,73,0,5-Aug-15,DL,1,0,2,False,1,3,2015-2016_matchday_1_Bayern-Hamburg,1,Bayern,1,1,win
0,7.51,91,0,0,0,55,home,6,0,5 : 0,969088,3,1,0,1,2,0,91.9,0,2,Xabi Alonso,True,2015-2016,0,3,5,86,1,5-Aug-15,DMC,0,0,0,False,1,0,2015-2016_matchday_1_Bayern-Hamburg,2,Bayern,0,0,win
0,6.93,47,2,0,0,64,home,1,0,5 : 0,969088,1,1,1,1,2,0,85.7,0,0,Arjen Robben,False,2015-2016,0,1,5,35,0,5-Aug-15,MR,0,0,1,False,0,1,2015-2016_matchday_1_Bayern-Hamburg,1,Bayern,0,3,win
0,8.01,134,5,0,0,90,home,16,0,5 : 0,969088,3,1,0,0,0,0,95.2,0,2,Arturo Vidal,False,2015-2016,0,14,5,126,0,5-Aug-15,MC,1,0,0,False,0,2,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,4,0,win
0,9.04,42,0,2,0,90,home,1,0,5 : 0,969088,0,3,0,0,0,2,78.6,0,0,Thomas Müller,False,2015-2016,0,0,5,28,0,5-Aug-15,MC,1,0,5,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,0,2,win
0,9.49,77,1,1,0,90,home,1,0,5 : 0,969088,3,4,0,0,6,1,85.5,0,3,Douglas Costa,False,2015-2016,1,0,5,55,1,5-Aug-15,ML,1,0,5,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,3,Bayern,1,1,win
0,8.97,33,1,1,0,90,home,1,0,5 : 0,969088,2,4,1,1,0,1,73.7,0,0,Robert Lewandowski,False,2015-2016,2,0,5,19,1,5-Aug-15,FW,2,0,1,False,0,2,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,3,4,win
0,7.11,39,2,0,0,35,home,4,0,5 : 0,969088,1,1,0,0,3,1,93.1,0,0,Rafinha,False,2015-2016,0,4,5,29,0,5-Aug-15,Sub,1,0,0,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,1,Bayern,0,0,win
0,6.41,29,0,0,0,26,home,0,0,5 : 0,969088,0,0,0,0,0,0,89.5,0,1,Mario Götze,False,2015-2016,0,0,5,19,0,5-Aug-15,Sub,5,0,2,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,0,3,win
0,6.37,30,0,0,0,19,home,2,0,5 : 0,969088,1,0,0,0,0,0,89.7,0,0,Thiago Alcántara,False,2015-2016,0,2,5,29,0,5-Aug-15,Sub,1,0,0,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,1,0,win
0,-,0,0,0,0,90,home,0,0,5 : 0,969088,0,0,0,0,0,0,0,0,0,Pierre-Emile Højbjerg,False,2015-2016,0,0,5,0,0,5-Aug-15,Sub,0,0,0,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,0,0,win
0,-,0,0,0,0,90,home,0,0,5 : 0,969088,0,0,0,0,0,0,0,0,0,Joshua Kimmich,False,2015-2016,0,0,5,0,0,5-Aug-15,Sub,0,0,0,False,0,0,2015-2016_matchday_1_Bayern-Hamburg,0,Bayern,0,0,win
