bigError,rating,keyPassTotal,dribbleWon,shotsTotal,shotOnTarget,pointsWon,passThroughBallAccurate,goalScored,turnover,playedMinutes,pitch,dispossessed,passSuccessInMatch,duelAerialWon,foulCommitted,touches,bigClearance,tackleWonTotal,passLongBallTotal,offsideGiven,passLongBallAccurate,totalPasses,score,foulGiven,bigChanceMiss,passCrossTotal,clearanceTotal,yellowCard,season,passThroughBallTotal,interceptionAll,assists,date,passCrossAccurate,name,redCard,shotBlocked,matchIdentifier,substituted,matchdayIdentifier,team,scoreTeam,position,result
0,6.99,0,0,0,0,3,0,0,0,92,home,0,68.6,0,0,64,0,0,19,0,8,35,2 : 1,0,0,0,0,False,2015-2016,0,0,0,0-Aug-15,0,Koen Casteels,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,GK,win
0,7.15,0,1,0,0,3,0,0,1,92,home,0,80.9,1,0,86,0,3,12,0,6,68,2 : 1,5,0,3,1,False,2015-2016,0,2,0,0-Aug-15,0,Vieirinha,False,2,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,DR,win
0,7.16,0,0,0,0,3,0,0,0,92,home,0,89.6,1,2,90,0,1,15,0,10,77,2 : 1,0,0,0,4,False,2015-2016,0,6,0,0-Aug-15,0,Naldo,False,1,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,DC,win
0,6.85,0,0,0,0,3,0,0,0,92,home,0,87.8,2,2,92,0,1,16,0,12,82,2 : 1,1,0,0,3,False,2015-2016,0,3,0,0-Aug-15,0,Timm Klose,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,DC,win
0,7.15,0,2,1,0,3,0,0,1,92,home,1,78.6,3,1,70,0,1,11,0,5,56,2 : 1,2,0,5,1,False,2015-2016,0,2,0,0-Aug-15,3,Ricardo Rodríguez,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,DL,win
0,7.90,1,2,0,0,3,0,0,0,92,home,0,94.3,2,0,70,0,3,7,0,5,53,2 : 1,1,0,0,2,False,2015-2016,0,6,0,0-Aug-15,0,Josuha Guilavogui,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,DMC,win
0,7.25,0,1,0,0,3,0,0,0,77,home,1,89.6,1,3,57,0,4,7,0,5,48,2 : 1,6,0,0,0,False,2015-2016,0,2,0,0-Aug-15,0,Maximilian Arnold,False,1,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,DMC,win
0,7.65,1,1,1,1,3,0,1,0,92,home,1,76.7,0,1,40,0,2,3,2,3,30,2 : 1,1,0,2,1,False,2015-2016,0,0,0,0-Aug-15,0,Ivan Perisic,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,AMR,win
0,7.63,1,4,0,0,3,0,0,3,92,home,0,90.9,1,1,57,0,1,6,0,5,44,2 : 1,0,0,1,0,False,2015-2016,0,1,1,0-Aug-15,1,Max Kruse,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,AMC,win
0,6.35,0,0,2,1,3,0,0,3,74,home,3,78.6,0,3,60,0,0,6,0,3,42,2 : 1,1,0,7,0,True,2015-2016,0,0,0,0-Aug-15,4,Kevin De Bruyne,False,0,969100,False,2015-2016_matchday_1_Wolfsburg-Eintracht Frankfurt,Wolfsburg,2,AML,win
