cumSportal,cumUserRated,ratedMatchdays,name,cumUser
3.36,172.82,22.0,Manuel Neuer,2.91
2.97,173.82,17.0,Philipp Lahm,2.94
3.09,179.91,11.0,Jerome Boateng,2.85
2.94,175.63,8.0,Medhi Benatia,2.91
3.12,222.71,17.0,David Alaba,2.62
3.31,237.15,13.0,Arjen Robben,2.76
2.83,221.0,21.0,Thomas M?ller,2.72
2.97,167.06,17.0, Xabi Alonso,2.96
2.89,165.06,18.0,Arturo Vidal,2.99
3.0,214.6,15.0,Douglas Costa,2.62
2.95,228.38,21.0,Robert Lewandowski,2.6
3.29,151.71,14.0, Rafinha,3.25
3.1,213.2,5.0,Mario G?tze,2.58
2.9,101.0,20.0,Ren? Adler,2.53
3.6,66.05,20.0,Matthias Ostrzolek,3.41
3.73,73.0,15.0,Emir Spahic,3.35
3.75,83.69,16.0,Johan Djourou,3.23
4.0,83.13,8.0,Dennis Diekmeier,3.46
3.1,85.43,21.0,Lewis Holtby,3.04
3.77,64.0,13.0,Gideon Jung,3.17
3.5,77.14,7.0,Albin Ekdal,3.33
3.39,64.11,18.0,Ivo Ilicevic,3.31
3.94,61.44,9.0,Sven Schipplock,3.6
3.46,62.75,12.0,Michael Gregoritsch,3.32
4.67,96.0,3.0,Ivica Olic,3.77
3.43,84.93,14.0,Pierre-Michel Lasogga,3.56
3.6,69.6,5.0,Marcelo Diaz,3.56
3.48,60.67,21.0,Bernd Leno,3.16
3.6,47.8,10.0,Roberto Hilbert,3.6
3.08,74.37,19.0,Jonathan Tah,3.08
3.43,63.57,7.0,Kyriakos Papadopoulos,3.2
3.69,67.81,21.0, Wendell,3.25
3.36,72.67,21.0,Karim Bellarabi,3.03
3.25,54.5,2.0,Lars Bender,2.9
3.22,69.67,18.0,Hakan Calhanoglu,2.96
3.5,54.18,17.0,Christoph Kramer,3.44
4.0,74.0,1.0,Heung-Min Son,3.7
3.37,62.4,15.0,Stefan Kie?ling,3.02
3.5,45.57,14.0,Admir Mehmedi,3.43
3.27,44.54,13.0,Julian Brandt,3.34
3.05,58.43,21.0,Oliver Baumann,2.85
4.0,33.82,11.0,Jin-Su Kim,3.67
4.0,34.69,13.0,Fabian Sch?r,3.25
3.33,59.86,21.0,Niklas S?le,3.03
3.72,32.56,16.0,Pavel Kaderabek,3.59
3.5,36.57,7.0,Steven Zuber,3.71
3.77,39.18,11.0,Eugen Polanski,3.5
3.45,63.53,19.0,Kevin Volland,3.07
3.72,34.78,9.0,Pirmin Schwegler,3.37
3.79,48.92,12.0,Jonathan Schmid,3.53
