cumSportal,name,ratedMatchdays,cumUser,cumUserRated,team
3.32,Manuel Neuer,34.0,2.86,165.29,Bayern Munich
2.98,Philipp Lahm,25.0,2.88,176.6,Bayern Munich
2.97,Jerome Boateng,19.0,2.79,180.89,Bayern Munich
3.19,Medhi Benatia,13.0,2.9,129.69,Bayern Munich
3.03,David Alaba,29.0,2.63,203.41,Bayern Munich
3.25,Arjen Robben,14.0,2.71,240.86,Bayern Munich
2.84,Thomas M?ller,31.0,2.77,214.19,Bayern Munich
2.92, Xabi Alonso,24.0,2.9,177.63,Bayern Munich
2.93,Arturo Vidal,29.0,2.92,160.07,Bayern Munich
2.85,Douglas Costa,24.0,2.57,205.29,Bayern Munich
2.74,Robert Lewandowski,31.0,2.47,225.97,Bayern Munich
3.33, Rafinha,24.0,3.25,119.67,Bayern Munich
3.15,Mario G?tze,13.0,2.76,182.46,Bayern Munich
3.0,Ren? Adler,24.0,2.61,91.83,Hamburg
3.56,Matthias Ostrzolek,32.0,3.37,55.59,Hamburg
3.65,Emir Spahic,26.0,3.36,58.15,Hamburg
3.62,Johan Djourou,26.0,3.12,71.73,Hamburg
3.78,Dennis Diekmeier,16.0,3.36,64.88,Hamburg
3.19,Lewis Holtby,34.0,3.04,71.21,Hamburg
3.83,Gideon Jung,15.0,3.13,62.4,Hamburg
3.46,Albin Ekdal,14.0,3.39,56.07,Hamburg
3.62,Ivo Ilicevic,30.0,3.32,54.53,Hamburg
4.12,Sven Schipplock,13.0,3.73,48.38,Hamburg
3.5,Michael Gregoritsch,22.0,3.29,49.27,Hamburg
4.38,Ivica Olic,4.0,3.85,73.75,Hamburg
3.66,Pierre-Michel Lasogga,25.0,3.61,68.32,Hamburg
3.44,Marcelo Diaz,8.0,3.42,61.5,Hamburg
3.39,Bernd Leno,32.0,3.08,58.41,Leverkusen
3.88,Roberto Hilbert,12.0,3.73,57.33,Leverkusen
3.14,Jonathan Tah,28.0,3.18,67.79,Leverkusen
3.38,Kyriakos Papadopoulos,12.0,3.26,74.67,Leverkusen
3.69, Wendell,27.0,3.3,70.04,Leverkusen
3.14,Karim Bellarabi,32.0,2.93,71.53,Leverkusen
3.1,Lars Bender,10.0,3.04,59.1,Leverkusen
3.32,Hakan Calhanoglu,28.0,3.05,68.21,Leverkusen
3.41,Christoph Kramer,27.0,3.53,54.11,Leverkusen
4.0,Heung-Min Son,1.0,3.7,74.0,Leverkusen
3.58,Stefan Kie?ling,25.0,3.24,59.36,Leverkusen
3.58,Admir Mehmedi,18.0,3.51,47.83,Leverkusen
3.11,Julian Brandt,23.0,3.15,56.39,Leverkusen
3.08,Oliver Baumann,33.0,2.91,53.58,Hoffenheim
3.9,Jin-Su Kim,15.0,3.71,39.53,Hoffenheim
3.95,Fabian Sch?r,20.0,3.37,38.9,Hoffenheim
3.33,Niklas S?le,33.0,3.03,60.88,Hoffenheim
3.71,Pavel Kaderabek,28.0,3.42,35.96,Hoffenheim
3.67,Steven Zuber,9.0,3.8,45.22,Hoffenheim
3.78,Eugen Polanski,23.0,3.56,41.0,Hoffenheim
3.48,Kevin Volland,32.0,3.11,61.56,Hoffenheim
3.71,Pirmin Schwegler,19.0,3.44,35.74,Hoffenheim
3.61,Jonathan Schmid,19.0,3.25,54.84,Hoffenheim
4.5,Kevin Kuranyi,9.0,4.21,34.67,Hoffenheim
3.71,Tobias Strobl,26.0,3.58,28.46,Hoffenheim
3.08,Marwin Hitz,33.0,2.55,61.12,Augsburg
3.44,Paul Verhaegh,25.0,3.18,64.96,Augsburg
3.48,Jeong-Ho Hong,21.0,3.42,40.81,Augsburg
3.65,Ragnar Klavan,31.0,3.32,43.03,Augsburg
3.5,Markus Feulner,15.0,3.67,30.0,Augsburg
3.48,Alexander Esswein,26.0,3.42,38.5,Augsburg
