cumSportal,cumUserRated,ratedMatchdays,name,cumUser
3.34,149.57,28.0,Manuel Neuer,2.89
2.92,155.8,20.0,Philipp Lahm,2.91
3.15,159.62,13.0,Jerome Boateng,2.92
3.19,129.69,13.0,Medhi Benatia,2.9
3.13,184.78,23.0,David Alaba,2.63
3.31,237.15,13.0,Arjen Robben,2.76
2.92,197.8,25.0,Thomas M?ller,2.83
2.97,155.68,19.0, Xabi Alonso,2.96
2.86,148.18,22.0,Arturo Vidal,2.91
3.03,189.67,18.0,Douglas Costa,2.66
2.9,199.58,26.0,Robert Lewandowski,2.59
3.33,120.05,20.0, Rafinha,3.27
3.25,137.3,10.0,Mario G?tze,2.79
3.02,96.41,22.0,Ren? Adler,2.64
3.58,58.2,25.0,Matthias Ostrzolek,3.38
3.7,62.85,20.0,Emir Spahic,3.33
3.75,74.15,20.0,Johan Djourou,3.18
4.0,75.11,9.0,Dennis Diekmeier,3.6
3.13,75.3,27.0,Lewis Holtby,2.99
3.79,63.71,14.0,Gideon Jung,3.15
3.56,63.44,9.0,Albin Ekdal,3.57
3.57,56.17,23.0,Ivo Ilicevic,3.3
4.17,50.0,12.0,Sven Schipplock,3.74
3.44,51.76,17.0,Michael Gregoritsch,3.25
4.38,73.75,4.0,Ivica Olic,3.85
3.63,68.53,19.0,Pierre-Michel Lasogga,3.66
3.6,69.6,5.0,Marcelo Diaz,3.56
3.31,57.69,26.0,Bernd Leno,3.02
3.68,44.45,11.0,Roberto Hilbert,3.6
3.09,73.14,22.0,Jonathan Tah,3.0
3.43,63.57,7.0,Kyriakos Papadopoulos,3.2
3.7,67.13,23.0, Wendell,3.27
3.04,69.54,26.0,Karim Bellarabi,2.88
3.4,47.2,5.0,Lars Bender,2.84
3.24,62.7,23.0,Hakan Calhanoglu,2.95
3.43,50.33,21.0,Christoph Kramer,3.43
4.0,74.0,1.0,Heung-Min Son,3.7
3.48,54.2,20.0,Stefan Kie?ling,3.05
3.47,43.2,15.0,Admir Mehmedi,3.39
3.0,47.61,18.0,Julian Brandt,3.07
3.02,51.88,26.0,Oliver Baumann,2.82
4.0,33.82,11.0,Jin-Su Kim,3.67
3.91,30.88,17.0,Fabian Sch?r,3.19
3.21,54.73,26.0,Niklas S?le,2.99
3.74,27.76,21.0,Pavel Kaderabek,3.5
3.5,36.57,7.0,Steven Zuber,3.71
3.88,31.06,16.0,Eugen Polanski,3.81
3.56,54.8,25.0,Kevin Volland,3.09
3.77,28.23,13.0,Pirmin Schwegler,3.42
3.79,48.92,12.0,Jonathan Schmid,3.53
4.33,24.0,6.0,Kevin Kuranyi,4.17
3.66,29.0,22.0,Tobias Strobl,3.5
3.12,62.31,26.0,Marwin Hitz,2.54
3.44,61.83,18.0,Paul Verhaegh,3.08
3.31,39.81,16.0,Jeong-Ho Hong,3.41
3.6,41.13,24.0,Ragnar Klavan,3.28
3.5,26.5,12.0,Markus Feulner,3.7
3.5,37.32,19.0,Alexander Esswein,3.41
3.75,30.75,24.0,Dominik Kohr,3.64
3.43,39.45,22.0,Daniel Baier,2.85
3.8,21.8,10.0,Halil Altintop,3.33
3.5,35.6,5.0,Tobias Werner,3.46
3.6,53.65,20.0,Raul Bobadilla,3.09
3.17,39.04,24.0, Caiuby,3.03
3.33,77.67,3.0,Thomas Kraft,3.0
3.44,72.54,26.0,Marvin Plattenhardt,3.23
3.5,54.74,23.0,Fabian Lustenberger,3.13
3.14,63.06,18.0,Sebastian Langkamp,2.84
3.45,41.0,11.0,Peter Pekarik,3.39
4.0,43.67,6.0,Valentin Stocker,3.55
3.83,59.0,6.0,Jens Hegeler,3.67
3.44,48.46,24.0,Per Ciljan Skjelbred,3.25
3.6,63.75,24.0,Vladimir Darida,3.09
5.0,32.0,1.0,Roy Beerens,4.5
3.38,61.58,26.0,Salomon Kalou,3.2
3.5,30.0,1.0,Nico Schulz,3.9
3.33,67.78,27.0,Felix Wiedwald,3.03
3.75,47.35,26.0,Theodor Gebre Selassie,3.35
