name,sportalRating,userRating,team,userRated,spieltag
Manuel Neuer,3.5,2.6,Bayern Munich,534,1
Philipp Lahm,3,2.7,Bayern Munich,511,1
Jerome Boateng,2.5,2.5,Bayern Munich,513,1
Medhi Benatia,1.5,2,Bayern Munich,528,1
David Alaba,2.5,2.2,Bayern Munich,523,1
Arjen Robben,3.5,2.8,Bayern Munich,511,1
Thomas M?ller,2,1.4,Bayern Munich,533,1
 Xabi Alonso,2.5,2.8,Bayern Munich,513,1
Arturo Vidal,1.5,2.1,Bayern Munich,501,1
Douglas Costa,1.5,1.3,Bayern Munich,533,1
Robert Lewandowski,2,1.7,Bayern Munich,525,1
 Rafinha,3,2.6,Bayern Munich,487,1
Mario G?tze,3.5,2.8,Bayern Munich,501,1
Ren? Adler,3.5,3.4,Hamburg,217,1
Matthias Ostrzolek,5.5,4.8,Hamburg,205,1
Emir Spahic,5,4.7,Hamburg,205,1
Johan Djourou,5,4.4,Hamburg,195,1
Dennis Diekmeier,4,4.1,Hamburg,188,1
Lewis Holtby,4,4,Hamburg,197,1
Gideon Jung,4,3.9,Hamburg,188,1
Albin Ekdal,4,4.1,Hamburg,187,1
Ivo Ilicevic,4.5,4.5,Hamburg,181,1
Sven Schipplock,4,4,Hamburg,187,1
Michael Gregoritsch,4.5,4.1,Hamburg,187,1
Ivica Olic,4.5,4.1,Hamburg,183,1
Pierre-Michel Lasogga,4,4.6,Hamburg,193,1
Marcelo Diaz,4,4.3,Hamburg,175,1
Bernd Leno,3.5,3.1,Leverkusen,68,1
Roberto Hilbert,3,2.8,Leverkusen,76,1
Jonathan Tah,3,2.7,Leverkusen,65,1
Kyriakos Papadopoulos,3,2.8,Leverkusen,83,1
 Wendell,2.5,2.1,Leverkusen,80,1
Karim Bellarabi,3,2.7,Leverkusen,80,1
Lars Bender,3.5,3,Leverkusen,66,1
Hakan Calhanoglu,2,2.9,Leverkusen,80,1
Christoph Kramer,3.5,3.1,Leverkusen,68,1
Heung-Min Son,4,3.7,Leverkusen,74,1
Stefan Kie?ling,2,2.7,Leverkusen,80,1
Admir Mehmedi,2.5,2.6,Leverkusen,68,1
Julian Brandt,2.5,2.1,Leverkusen,73,1
Oliver Baumann,4,3.3,Hoffenheim,36,1
Jin-Su Kim,4,3.4,Hoffenheim,40,1
Fabian Sch?r,5,3.7,Hoffenheim,40,1
Niklas S?le,3,2.9,Hoffenheim,53,1
Pavel Kaderabek,3,3.6,Hoffenheim,30,1
Steven Zuber,2.5,3,Hoffenheim,38,1
Eugen Polanski,3.5,3.1,Hoffenheim,43,1
Kevin Volland,4.5,3.2,Hoffenheim,45,1
Pirmin Schwegler,4,3.4,Hoffenheim,37,1
Jonathan Schmid,4,3.8,Hoffenheim,42,1
Kevin Kuranyi,4,3.8,Hoffenheim,37,1
Tobias Strobl,4.5,4.1,Hoffenheim,34,1
Marwin Hitz,3,2.8,Augsburg,36,1
Paul Verhaegh,4,2.9,Augsburg,40,1
Jeong-Ho Hong,3.5,3.4,Augsburg,35,1
Ragnar Klavan,4.5,3.3,Augsburg,40,1
Markus Feulner,2.5,3.3,Augsburg,32,1
Alexander Esswein,2.5,3.1,Augsburg,29,1
Dominik Kohr,3.5,3.1,Augsburg,30,1
Daniel Baier,2.5,3.1,Augsburg,37,1
Halil Altintop,4,3.4,Augsburg,45,1
Tobias Werner,3.5,3,Augsburg,41,1
Raul Bobadilla,5,3.9,Augsburg,52,1
 Caiuby,3,3.8,Augsburg,28,1
Thomas Kraft,2,2,herthabsc,49,1
Marvin Plattenhardt,3,3.2,herthabsc,33,1
Fabian Lustenberger,3,3.1,herthabsc,37,1
Sebastian Langkamp,3,2.7,herthabsc,36,1
Peter Pekarik,3,3.1,herthabsc,31,1
Valentin Stocker,4.5,3.7,herthabsc,34,1
Jens Hegeler,3,3.1,herthabsc,34,1
Per Ciljan Skjelbred,3,3.3,herthabsc,30,1
Vladimir Darida,4,2.8,herthabsc,37,1
Roy Beerens,5,4.5,herthabsc,32,1
Salomon Kalou,2.5,2.6,herthabsc,43,1
Nico Schulz,3.5,3.9,herthabsc,30,1
Felix Wiedwald,2.5,2.6,Bremen,116,1
Theodor Gebre Selassie,5,3.9,Bremen,95,1
Assani Lukimya,4,3.5,Bremen,83,1
Jannik Vestergaard,4,3.7,Bremen,88,1
Ulisses Garcia,4.5,3.4,Bremen,89,1
Clemens Fritz,4,3.5,Bremen,80,1
Philipp Bargfrede,3.5,3.5,Bremen,85,1
Fin Bartels,5,4,Bremen,79,1
Zlatko Junuzovic,4,3.4,Bremen,98,1
Anthony Ujah,5,3.8,Bremen,105,1
Levin ?ztunali,4.5,4,Bremen,83,1
Aron Johannsson,4,4,Bremen,71,1
Florian Grillitsch,3.5,3.9,Bremen,68,1
Ralf F?hrmann,3.5,2.3,Schalke,101,1
Dennis Aogo,3,2.9,Schalke,87,1
Matija Nastasic,,3,Schalke,74,1
Joel Matip,2,1.9,Schalke,100,1
Sascha Riether,3,3.1,Schalke,80,1
Julian Draxler,3,2.7,Schalke,104,1
Leon Goretzka,3,2.8,Schalke,104,1
Johannes Geis,3,2.3,Schalke,112,1
Eric Maxim Choupo-Moting,2.5,2.1,Schalke,112,1
Klaas-Jan Huntelaar,2.5,2.4,Schalke,112,1
Franco Di Santo,4,3.5,Schalke,102,1
Roman Neust?dter,2.5,2.5,Schalke,80,1
Marco H?ger,3.5,3.1,Schalke,78,1
Loris Karius,3,2.7,Mainz,31,1
Daniel Brosinski,4,3.2,Mainz,30,1
Niko Bungert,4,3.6,Mainz,28,1
Stefan Bell,3,3.4,Mainz,33,1
Pierre Bengtsson,4,4.7,Mainz,23,1
Christian Clemens,3.5,3.4,Mainz,26,1
Fabian Frei,3.5,4,Mainz,23,1
Yunus Malli,3,3.4,Mainz,33,1
Julian Baumgartlinger,3.5,3.7,Mainz,23,1
Jairo Samperio,4,3.2,Mainz,30,1
Florian Niederlechner,4,4.1,Mainz,24,1
Ramazan ?zcan,3,3.2,Ingolstadt,19,1
Konstantin Engel,3.5,3.9,Ingolstadt,15,1
Benjamin H?bner,3,2.9,Ingolstadt,25,1
Marvin Matip,2.5,2.8,Ingolstadt,27,1
Tobias Levels,2.5,3.4,Ingolstadt,18,1
Alfredo Morales,2.5,3.6,Ingolstadt,17,1
 Roger,2.5,3.3,Ingolstadt,9,1
Pascal Gro?,2.5,2.4,Ingolstadt,28,1
Mathew Leckie,3,3,Ingolstadt,21,1
Lukas Hinterseer,2.5,2.3,Ingolstadt,24,1
Moritz Hartmann,3,3.2,Ingolstadt,18,1
Elias Kachunga,3,3.7,Ingolstadt,21,1
Christian Mathenia,4.5,2.4,Darmstadt,102,1
Florian Jungwirth,3.5,3,Darmstadt,41,1
